,rougeL,bleu,radgraph,chexbert_accuracy,Enlarged Cardiomediastinum_f1,Enlarged Cardiomediastinum_support,Cardiomegaly_f1,Cardiomegaly_support,Lung Opacity_f1,Lung Opacity_support,Lung Lesion_f1,Lung Lesion_support,Edema_f1,Edema_support,Consolidation_f1,Consolidation_support,Pneumonia_f1,Pneumonia_support,Atelectasis_f1,Atelectasis_support,Pneumothorax_f1,Pneumothorax_support,Pleural Effusion_f1,Pleural Effusion_support,Pleural Other_f1,Pleural Other_support,Fracture_f1,Fracture_support,Support Devices_f1,Support Devices_support,No Finding_f1,No Finding_support,micro avg_f1,micro avg_support,macro avg_f1,macro avg_support,weighted avg_f1,weighted avg_support,samples avg_f1,samples avg_support,bert_score,crimson_score
results_frontal_lateral_clahe_oversample_encoder_decoder.csv,0.3501999167026559,9.31,0.2742102730853998,0.5707070707070707,0.06666666666666667,20.0,0.42857142857142855,18.0,0.42105263157894735,44.0,0.0,4.0,0.0,12.0,0.0,1.0,0.0,8.0,0.25,45.0,0.0,1.0,0.13793103448275862,17.0,0.18181818181818182,5.0,0.0,3.0,0.125,10.0,0.23529411764705882,25.0,0.2331002331002331,213.0,0.13188100434036015,213.0,0.23103383227026766,213.0,0.14628427128427127,213.0,0.9378901969904851,-0.10339591836734692
results_frontal_lateral_no_clahe_no_oversample_encoder_decoder.csv,0.3782181472359304,10.52,0.3214193013689878,0.7171717171717171,0.18181818181818182,1.0,0.3225806451612903,7.0,0.2909090909090909,23.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.25,21.0,0.0,0.0,0.0,2.0,0.2857142857142857,1.0,0.0,2.0,0.2857142857142857,1.0,0.524390243902439,87.0,0.34877384196185285,151.0,0.1529376238013981,151.0,0.40115345417084153,151.0,0.2803030303030303,151.0,0.9421281299807809,0.33150659898477153
results_frontal_no_clahe_no_oversample_encoder_decoder.csv,0.36475797712235,9.58,0.3006355806328105,0.6313131313131313,0.0,3.0,0.27586206896551724,5.0,0.18518518518518517,22.0,0.2222222222222222,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.043478260869565216,27.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.373134328358209,57.0,0.20689655172413793,132.0,0.07856300468576419,132.0,0.21638349125351894,132.0,0.15666185666185667,132.0,0.9411823978327741,0.27508737373737374
results_frontal_lateral_no_clahe_oversample_encoder_decoder.csv,0.3799756440061571,13.7,0.3103788630312289,0.6464646464646465,0.0,16.0,0.22727272727272727,20.0,0.2898550724637681,37.0,0.0,4.0,0.18181818181818182,5.0,0.0,0.0,0.0,2.0,0.2545454545454545,36.0,0.0,0.0,0.3076923076923077,14.0,0.3076923076923077,7.0,0.0,2.0,0.14285714285714285,8.0,0.3728813559322034,41.0,0.2549019607843137,192.0,0.14890103930529236,192.0,0.2512257848799853,192.0,0.17412217412217412,192.0,0.9414176203385748,0.055197461928934016
results_frontal_no_clahe_no_oversample_encoder.csv,0.3743608334477502,9.41,0.2952308817078115,0.6464646464646465,0.0,1.0,0.3333333333333333,6.0,0.29508196721311475,29.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.1702127659574468,28.0,0.0,1.0,0.21052631578947367,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3875968992248062,52.0,0.25862068965517243,132.0,0.09976794867986963,132.0,0.2799398292894324,132.0,0.17215007215007216,132.0,0.9410742960795008,0.14921827411167513
results_frontal_lateral_clahe_no_oversample_encoder.csv,0.3825418349813313,10.58,0.3048384829485215,0.7121212121212122,0.0,1.0,0.3125,8.0,0.3103448275862069,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21739130434782608,27.0,0.0,0.0,0.26666666666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5064935064935064,77.0,0.3342618384401114,143.0,0.11524259322101472,143.0,0.39327643870372503,143.0,0.24757094757094758,143.0,0.9419669210910797,0.38573857868020306
results_frontal_clahe_no_oversample_encoder.csv,0.3687948452194758,9.83,0.2982243529522868,0.7323232323232324,0.0,1.0,0.27586206896551724,5.0,0.20833333333333334,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17647058823529413,15.0,0.0,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764227642276423,46.0,0.1986754966887417,86.0,0.07713899268706641,86.0,0.23675423188228095,86.0,0.12053872053872053,86.0,0.9419667203016956,0.2777060913705584
results_frontal_lateral_no_clahe_no_oversample_encoder.csv,0.3759206992324617,9.61,0.3109612255031508,0.7070707070707071,0.0,0.0,0.3870967741935484,7.0,0.3103448275862069,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.2978723404255319,28.0,0.0,0.0,0.2857142857142857,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4935064935064935,77.0,0.34444444444444444,144.0,0.12675248010186188,144.0,0.40062845166624783,144.0,0.2525974025974026,144.0,0.9419040818407078,0.2850335025380711
results_baseline_frontal.csv,0.1957012139215048,0.8,0.1574687216904433,0.0202020202020202,0.0,0.0,0.2171945701357466,197.0,0.28,18.0,0.0975609756097561,35.0,0.0,0.0,0.0,7.0,0.14814814814814814,20.0,0.1827956989247312,167.0,0.0,0.0,0.0,5.0,0.061224489795918366,190.0,0.0,0.0,0.01904761904761905,99.0,0.0,0.0,0.12368972746331237,738.0,0.07185510726156567,738.0,0.13313032045178239,738.0,0.10754769921436588,738.0,0.9002315648878464,0.3027801020408163
results_baseline_frontal_lateral.csv,0.197859851156018,0.84,0.1585112862460268,0.005050505050505,0.0,0.0,0.21621621621621623,198.0,0.25,32.0,0.0,39.0,0.0,0.0,0.0,14.0,0.15,33.0,0.17307692307692307,189.0,0.0,0.0,0.0,3.0,0.06060606060606061,192.0,0.0,0.0,0.05405405405405406,68.0,0.0,0.0,0.12398373983739837,768.0,0.06456808956808956,768.0,0.13513592263592264,768.0,0.10716690716690717,768.0,0.9003715563302088,0.2100289340101523
